Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,description,target
67,male,2,own,,little,1169,6,radio/TV,"The 67 year old male has a skilled job, owns his housing, has a little checking account, requested a 1169 credit amount over 6 months duration for the purpose of a radio/TV.",bad risk
22,female,2,own,little,moderate,5951,48,radio/TV,The person is a 22 year old female with a skilled job who owns her housing. She has a little savings account and a moderate checking account. She requested a 5951 credit amount over a duration of 48 months to purchase a radio/TV.,bad risk
49,male,1,own,little,,2096,12,education,A 49 year old male with an unskilled and resident job lives in his own housing. His savings account status is little. He has requested a credit amount of 2096 over a duration of 12 months for the purpose of education.,good risk
45,male,2,free,little,little,7882,42,furniture/equipment,The person is a 45 year old male with a skilled job who lives in free housing and has little savings and checking accounts. He requested a 7882 credit amount over a 42 month duration to purchase furniture/equipment.,bad risk
53,male,2,free,little,little,4870,24,car,The 53 year old male has a skilled job and lives in free housing. His saving and checking accounts have little funds. He requested a 4870 credit amount over a 24 month duration to purchase a car.,bad risk
35,male,1,free,,,9055,36,education,A 35 year old male with an unskilled resident job living in free housing was given a 9055 credit amount for a 36 month duration loan for the purpose of education.,bad risk
53,male,2,own,quite rich,,2835,24,furniture/equipment,"A 53 year old male with a skilled job who owns their housing has quite rich saving accounts, requested a credit amount of 2835 for a 24 month duration to purchase furniture/equipment.",good risk
35,male,3,rent,little,moderate,6948,36,car,"The person is a 35 year old male with a highly skilled job who rents housing, has little savings, a moderate checking account, requested a 6948 credit amount over 36 month duration to purchase a car.",bad risk
61,male,1,own,rich,,3059,12,radio/TV,"A 61 year old male with an unskilled resident job living in his own housing has a rich saving account, requested a 3059 credit amount over a 12 month duration to purchase a radio/TV.",bad risk
28,male,3,own,little,moderate,5234,30,car,The person is a 28 year old male with a highly skilled job who owns their housing. They have a little savings account and a moderate checking account. They are requesting a 5234 credit amount over a 30 month duration to purchase a car.,bad risk
25,female,2,rent,little,moderate,1295,12,car,"The 25 year old female has a skilled job, rents housing, has a little savings account, a moderate checking account, a 1295 credit amount over 12 months duration for the purpose of a car.",good risk
24,female,2,rent,little,little,4308,48,business,"The person is a 24 year old female with a skilled job who rents housing, has little savings and checking accounts, was approved for a 4308 credit amount over a 48 month duration to start a business.",bad risk
22,female,2,own,little,moderate,1567,12,radio/TV,The person is a 22 year old female with a skilled job who owns her housing. She has a little savings account and a moderate checking account. She is requesting a 1567 credit amount over a 12 month duration to purchase a radio/TV.,good risk
60,male,1,own,little,little,1199,24,car,"A 60 year old male with an unskilled resident job, living in his own housing, having a little savings account and a little checking account, requested a 1199 credit amount over a 24 month duration to purchase a car.",bad risk
28,female,2,rent,little,little,1403,15,car,"The 28 year old female has a skilled job, rents housing, has little in her saving and checking accounts, was granted a 1403 credit amount over a 15 month duration to purchase a car.",good risk
32,female,1,own,moderate,little,1282,24,radio/TV,"The 32 year old female has an unskilled resident job, owns her housing, has a moderate saving account, a little checking account, a 1282 credit amount over 24 months duration for the purpose of a radio/TV.",good risk
53,male,2,own,,,2424,24,radio/TV,"The 53 year old male has a skilled job, owns his housing, has requested a credit amount of 2424 for a duration of 24 months for the purpose of a radio/TV purchase.",good risk
25,male,2,own,,little,8072,30,business,The person is a 25 year old male with a skilled job who owns their housing. They have a little checking account and requested a credit amount of 8072 for a business purpose over a duration of 30 months.,bad risk
44,female,3,free,little,moderate,12579,24,car,"The person is a 44 year old female with a highly skilled job, living in free housing, having a little savings account and a moderate checking account, requesting a credit amount of 12579 over a duration of 24 months for the purpose of purchasing a car.",bad risk
31,male,2,own,quite rich,,3430,24,radio/TV,"The 31 year old male has a skilled job, owns his housing, has quite rich saving accounts, took out credit of $3430 over a 24 month duration to purchase a radio/TV.",good risk
48,male,2,own,little,,2134,9,car,The person is a 48 year old male with a skilled job who owns their housing. They have a little savings account and requested a 2134 credit amount over a 9 month duration to purchase a car.,good risk
44,male,2,rent,quite rich,little,2647,6,radio/TV,"A 44 year old male with a skilled job who rents housing has quite rich savings accounts, a little checking account, requested a 2647 credit amount over a duration of 6 months for the purpose of a radio/TV.",good risk
48,male,1,rent,little,little,2241,10,car,"The 48 year old male has an unskilled resident job, rents housing, has little savings and checking accounts, has requested a 2241 credit amount over a 10 month duration to purchase a car.",bad risk
44,male,2,own,moderate,moderate,1804,12,car,"The 44 year old male has a skilled job, owns housing, has moderate saving and checking accounts, requested a 1804 credit amount over a 12 month duration for the purpose of a car.",good risk
26,male,2,own,,,2069,10,furniture/equipment,The person is a 26 year old male with a skilled job who owns their housing. They have requested a credit amount of 2069 over a duration of 10 months for the purpose of purchasing furniture/equipment.,good risk
